save_filenames,validity,uniqueness,novelty,sampled_averages,targets,,property_names,no_conditions_mean
./results/classical_conditions_mean_std/no_conditions.csv,38.467,47.970988119687,71.21335284235626,,,,MW,128.04156214417551
./results/classical_conditions_mean_std/upper_MW.csv,9.034,67.26809829532876,97.48231035050189,136.0928599734337,137.87912762210297,,HBA,2.1499207112590013
./results/classical_conditions_mean_std/lower_MW.csv,71.191,15.357278307651248,70.70337510289949,113.32553251113201,107.65993555989041,,HBD,1.0021057009904593
./results/classical_conditions_mean_std/upper_HBA.csv,45.525,11.83964854475563,74.73098330241187,4.0488522789676,4.341388022367163,,nRot,0.7928874099877817
./results/classical_conditions_mean_std/lower_HBA.csv,27.933000000000003,16.253177245551857,88.5022026431718,0.29699638420506214,0.12082944453132605,,nRing,1.6734083760106064
./results/classical_conditions_mean_std/upper_HBD.csv,59.528999999999996,35.654890893514086,89.73851590106007,2.8955635068622017,2.5048350296171127,,nHet,2.1946863545376556
./results/classical_conditions_mean_std/lower_HBD.csv,65.113,31.875355151813,69.34714526620091,0.32549567674657903,0,,TPSA,34.5254571450854
./results/classical_conditions_mean_std/upper_nRot.csv,46.062,26.961486691850116,64.75561639423464,2.905214710607442,3.1045142464818762,,LogP,0.5183202942782125
./results/classical_conditions_mean_std/lower_nRot.csv,72.382,35.687049266392194,80.3879060044133,0.113191124865298,0,,StereoCenters,1.807055398133465
./results/classical_conditions_mean_std/upper_nRing.csv,54.825,47.75376196990424,82.07096749551201,3.5328773369813042,4.160138509407557,,,
./results/classical_conditions_mean_std/lower_nRing.csv,83.832,19.84802939211757,78.95306208305787,0.0,0,,,
./results/classical_conditions_mean_std/upper_nHet.csv,39.379999999999995,28.82935500253936,75.26644939663525,4.784484509903504,4.842426839972925,,,
./results/classical_conditions_mean_std/lower_nHet.csv,74.883,9.768572306130897,66.15174299384826,0.059506162947531485,0.1017549252836667,,,
./results/classical_conditions_mean_std/upper_TPSA.csv,41.36,23.131044487427467,76.784781018083,83.44390449709864,79.66505248138563,,,
./results/classical_conditions_mean_std/lower_TPSA.csv,75.331,10.853433513427408,73.48336594911937,0.6649220108587433,0,,,
./results/classical_conditions_mean_std/upper_LogP.csv,46.495,13.822991719539734,71.15294849852187,2.3656809558017,2.3014031237647985,,,
./results/classical_conditions_mean_std/lower_LogP.csv,68.916,29.306692205003195,92.2958855275536,-1.4632990810551973,-1.7071856980907705,,,
./results/classical_conditions_mean_std/upper_StereoCenters.csv,59.846,33.56615312635765,78.36021505376344,4.273134378237476,4.772225048681976,,,
./results/classical_conditions_mean_std/lower_StereoCenters.csv,49.631,31.724124035381113,70.61924420450937,0.14696459873869155,0,,,
